Candidate,Party,Criminal Cases,Education,Age,Total Assets,Constituency,Liabilities,Winner,Gender,Year
Saraju,Lok Dal,0,Post Graduate,67,1807000,Ghazipur,0,0,M,2009
Satish Shankar Jaisawal,National Loktantrik Party,0,12th Pass,28,7000,Ghazipur,0,0,M,2009
Shyam Narayan,RASD,0,Post Graduate,54,1282500,Ghazipur,9000,0,M,2009
Suraj Ram Bagi,CPI,0,Graduate,52,1018723,Ghazipur,0,0,M,2009
Surendra,JPS,0,Literate,43,450000,Ghazipur,0,0,M,2009
Dara Singh Chauhan,BSP,2,10th Pass,50,2044115,Ghosi,927848,0,M,2009
Akhilesh,JPS,0,12th Pass,43,231000,Ghosi,0,0,M,2009
Arshad Jamal Ansari,SP,0,Post Graduate,43,2465633,Ghosi,0,0,M,2009
Ashok Kumar,IND,0,Graduate,27,150000,Ghosi,0,0,M,2009
Atul Kumar Singh Anjan,CPI,0,Post Graduate,55,4026760,Ghosi,3153,0,M,2009
Harish Chandra,RJPK,0,Post Graduate,62,13400386,Ghosi,1491564,0,M,2009
Kailash Yadav,PECP,2,10th Pass,46,2373122,Ghosi,200000,0,M,2009
Lalji Rajbhar,BSD,0,12th Pass,44,1580000,Ghosi,0,0,M,2009
Palakdhari,IND,0,Not Given,41,,Ghosi,0,0,M,2009
Rakesh,IND,0,Graduate Professional,34,51000,Ghosi,0,0,M,2009
Ram Badan Kaul,BSA,1,Graduate,60,1000000,Ghosi,0,0,M,2009
Ram Iqbal,BJP,3,Post Graduate,49,4028821,Ghosi,0,0,M,2009
Ramesh Alias Raju Singh,SBSP,0,12th Pass,41,3500000,Ghosi,642000,0,M,2009
Sudha Rai,INC,0,Doctorate,54,10366720,Ghosi,477000,0,M,2009
Sujit Kumar,IND,4,Graduate,34,501182,Ghosi,0,0,M,2009
Zakir Hussain,IND,0,Graduate,45,215718,Ghosi,0,0,M,2009
Beni Prasad Verma,INC,0,Graduate Professional,68,20183574,Gonda,80932,1,M,2009
Akilendra Kumar Pathak,IND,0,Graduate,34,42000,Gonda,0,0,M,2009
Anuradha Patel,IND,0,Literate,42,1990044,Gonda,0,0,F,2009
Ashiq Ali,PECP,0,8th Pass,46,6250000,Gonda,45853,0,M,2009
Baijnath,IND,0,12th Pass,30,1080000,Gonda,0,0,M,2009
Deepak,IND,0,Literate,31,90000,Gonda,0,0,M,2009
Dr Achutananddube,NCP,0,Doctorate,64,259472,Gonda,115479,0,M,2009
Gagnga Dhar Shukla,IND,2,8th Pass,38,2095000,Gonda,0,0,M,2009
Harsh Vardhan Pandey,Lok Dal,0,Graduate,33,2191000,Gonda,500000,0,M,2009
Kirti Vardhan Singh Raja Baiya,BSP,0,Post Graduate,43,20957984,Gonda,1050714,0,M,2009
Narendra Singh,IND,0,12th Pass,34,625000,Gonda,0,0,M,2009
Om Prakash,IND,1,8th Pass,47,1750000,Gonda,0,0,M,2009
Om Prakash Singh,JPS,0,10th Pass,54,8890000,Gonda,800000,0,M,2009
Prem Kumar,SBSP,0,Graduate,26,150000,Gonda,0,0,M,2009
Radhey Shyam,IND,0,Graduate Professional,59,1716338,Gonda,0,0,M,2009
Rajendra Prasad,IND,0,Graduate,28,40000,Gonda,0,0,M,2009
Rajendra Prasad1,ANC,0,Not Given,55,1335000,Gonda,0,0,M,2009
Ram Kewal,VAJP,0,Literate,41,12700,Gonda,0,0,M,2009
Ram Lakhan,IND,0,Post Graduate,54,270588,Gonda,0,0,M,2009
Ram Lochan,ABHM,0,Literate,46,64000,Gonda,0,0,M,2009
Ram Prasad,IND,0,10th Pass,61,7128000,Gonda,0,0,M,2009
Ram Pratap Singh,BJP,0,Graduate,58,18691075,Gonda,3711863,0,M,2009
Satya Prakash,IND,0,Graduate,39,2500000,Gonda,0,0,M,2009
Vidya Sagar,AD,0,Graduate,36,641565,Gonda,0,0,M,2009
Vinod Kumar Singh Alias Pandit Singh,SP,0,12th Pass,42,6057015,Gonda,0,0,M,2009
Aditya Nath,BJP,2,Graduate,36,2182212,Gorakhpur,0,0,M,2009
Ajay Kumar,IND,0,12th Pass,40,45600,Gorakhpur,0,0,M,2009
Aman,Ambedkar Samaj Party,0,Literate,35,1022380,Gorakhpur,280478,0,M,2009
Awadhesh Singh,IND,0,Literate,32,3115000,Gorakhpur,32000,0,M,2009
Chedi Lal,IND,0,Post Graduate,59,1684463,Gorakhpur,0,0,M,2009
Daya Sankar Nishad,Awami Party,0,Post Graduate,38,200000,Gorakhpur,0,0,M,2009
Dr. Brijesh Mani Tripathi,IND,0,Post Graduate,44,1534940,Gorakhpur,50000,0,M,2009
Govind,IND,0,Illiterate,43,4202000,Gorakhpur,0,0,M,2009
Harish Chandra,IND,0,10th Pass,42,252502,Gorakhpur,0,0,M,2009
Jokhan Prasad,EKSP,0,Post Graduate,46,1001806,Gorakhpur,46000,0,M,2009
Lal Bahadur,IND,0,Graduate,68,825500,Gorakhpur,0,0,M,2009
Lal Chand Nishad,INC,0,Post Graduate,67,17574000,Gorakhpur,0,0,M,2009
Manoj,IND,0,Post Graduate,30,46488626,Gorakhpur,3709444,0,M,2009
Manoj Tiwari,SP,0,Graduate Professional,38,50158691,Gorakhpur,3809444,0,M,2009
Neeraj Yadav,IND,0,12th Pass,31,4660000,Gorakhpur,0,0,M,2009
Niranran Prasad,IND,0,Not Given,35,40000,Gorakhpur,0,0,M,2009
Om Prakash,IND,0,12th Pass,43,1810000,Gorakhpur,0,0,M,2009
Raj Bahadur,IJP,0,Post Graduate,28,145000,Gorakhpur,0,0,M,2009
Raj Mani,BEP,0,Literate,46,20000,Gorakhpur,0,0,M,2009
Rajan Urf Rajan Yadav,IND,0,Post Graduate,31,25500,Gorakhpur,0,0,M,2009
Rajesh Sahani,CPI(ML)(L),0,Post Graduate,44,,Gorakhpur,0,0,M,2009
Rakesh Kumar,IND,0,10th Pass,38,2220000,Gorakhpur,0,0,M,2009
Ramhit Nishad,IND,0,12th Pass,53,505000,Gorakhpur,0,0,M,2009
Shree Nath,SBSP,0,12th Pass,29,70000,Gorakhpur,0,0,M,2009
Vinod Shukla,IND,0,Post Graduate,29,77000,Gorakhpur,0,0,M,2009
Vijay Bahadur Singh,BSP,0,Graduate Professional,65,42956873,Hamirpur,623689,1,M,2009
Amit Kumar,AD,0,12th Pass,28,3500,Hamirpur,0,0,M,2009
Anil Kumar,Ambedkar Samaj Party,0,10th Pass,30,250000,Hamirpur,0,0,M,2009
Desh Raj,IND,0,12th Pass,45,510000,Hamirpur,100000,0,M,2009
Girdharilal,NELU,0,Not Given,70,110000,Hamirpur,0,0,M,2009
Hakeem Khan,BAP,0,8th Pass,56,1448000,Hamirpur,80000,0,M,2009
Kanti,Lok Dal,0,Illiterate,43,65000,Hamirpur,0,0,F,2009
Kapil Kumar,NLHP,0,Post Graduate,30,450000,Hamirpur,79000,0,M,2009
Lalla,IND,0,Not Given,46,205000,Hamirpur,0,0,M,2009
Lallu Prasad,IND,1,12th Pass,38,70000,Hamirpur,0,0,M,2009
Neeraj Kumar Nirala,IND,0,12th Pass,28,9010000,Hamirpur,0,0,M,2009
Parmeshwar Dayal,IND,0,10th Pass,60,325000,Hamirpur,60000,0,M,2009
"Preetam Singh Lodhi ""Kissan""",BJP,0,Post Graduate,39,6058800,Hamirpur,2000000,0,M,2009
Shivprasad Prajapati,IJP,0,Graduate,33,327000,Hamirpur,0,0,M,2009
Siddha Gopal Sahu,INC,0,Post Graduate,43,24894125,Hamirpur,0,0,M,2009
Usha Verma,SP,0,Post Graduate,43,10111699,Hardoi,500000,1,F,2009
Balakram,RJPK,0,8th Pass,48,1415000,Hardoi,0,0,M,2009
Bhaiya Lal Alias Chaman Babu,RSMD,0,10th Pass,35,10000,Hardoi,0,0,M,2009
Haribakhsh,NBNP,0,Literate,50,754000,Hardoi,0,0,M,2009
Jagannath,IND,0,5th Pass,45,50560,Hardoi,0,0,M,2009
Purnima Verma,BJP,0,Post Graduate,52,22001868,Hardoi,2169282,0,F,2009
Rajendra Kumar,IND,0,Graduate,49,410000,Hardoi,0,0,M,2009
Ram Kumar Kuril,BSP,4,12th Pass,47,2044273,Hardoi,100000,0,M,2009
Shantiswaroop,RPI,0,10th Pass,52,590000,Hardoi,0,0,M,2009
Shiv Kumar,IND,0,Literate,58,90000,Hardoi,0,0,M,2009
Usha,IND,0,Not Given,48,46000,Hardoi,0,0,F,2009
Sarika Singh,RLD,0,Post Graduate,29,825272,Hathras,0,1,F,2009
Anar Singh,SP,0,10th Pass,48,60240500,Hathras,20300000,0,M,2009
Jaiprakash,RTKP,0,8th Pass,59,1735000,Hathras,0,0,M,2009
Mathura Prasad,IND,0,Post Graduate,30,277600,Hathras,0,0,M,2009
Pradeep Chandel,INC,0,Not Given,31,1660000,Hathras,0,0,M,2009
Pradeep Kumar,Ambedkar Samaj Party,0,Literate,38,622500,Hathras,0,0,M,2009
Premlata,RPI(A),0,Literate,35,843500,Hathras,0,0,F,2009
Rajendra Kumar,BSP,1,Graduate,43,2525000,Hathras,0,0,M,2009
Shiv Singh,IND,0,Graduate,39,1205369,Hathras,0,0,M,2009
Suresh Babu,BSKPB,0,Graduate,35,338800,Hathras,0,0,M,2009
Ghansyam Anuragi,SP,2,Post Graduate,35,6350833,Jalaun,0,0,M,2009
Bhaggoolal Valmiki,RSMD,0,12th Pass,50,254323,Jalaun,0,0,M,2009
Bhanu Pratap Singh Verma,BJP,1,Post Graduate,50,1491809,Jalaun,115000,0,M,2009
Bhuri Devi,IND,0,Not Given,54,3915000,Jalaun,0,0,F,2009
Dashrath Singh Ahirwar,RDMP,0,10th Pass,27,130000,Jalaun,60000,0,M,2009
Dr. Babu Ramadhin Ahirwar,INC,0,Doctorate,58,899586,Jalaun,34529,0,M,2009
Hukum,JPS,0,Not Given,52,799267,Jalaun,0,0,M,2009
Kashiram,CPI(ML)(L),0,12th Pass,35,73020,Jalaun,0,0,M,2009
Mevalal,IND,0,12th Pass,61,701000,Jalaun,0,0,M,2009
Nathuram Verma Lohia,NCP,0,8th Pass,63,3285000,Jalaun,0,0,M,2009
Prabha Verma,AD,0,Doctorate,25,1180000,Jalaun,0,0,F,2009
Pratap Singh Kathariya,NELU,0,10th Pass,39,81500,Jalaun,0,0,M,2009
Ram Ji,IND,0,8th Pass,49,35000,Jalaun,0,0,M,2009
Sanjay Kumar,RAJUP,0,10th Pass,28,11000,Jalaun,0,0,M,2009
Tilak Chandra Ahirwar,BSP,0,Graduate,40,4443000,Jalaun,500000,0,M,2009
Vashudev,IND,0,8th Pass,31,435000,Jalaun,0,0,M,2009
Dhananjay Singh,BSP,1,Post Graduate,33,4362656,Jaunpur,678982,0,M,2009
Achheylal Nishad,NELU,0,Not Given,61,1995000,Jaunpur,0,0,M,2009
Ajay Kasyap - Guddu,IND,0,Literate,26,960500,Jaunpur,0,0,M,2009
Bahadur Sonkar,IJP,0,Literate,48,150000,Jaunpur,0,0,M,2009
Geeta Singh,RDMP,0,Graduate Professional,46,1600000,Jaunpur,0,0,F,2009
Giraja Shankar Yadava,GGP,0,Others,49,1141655,Jaunpur,140,0,M,2009
Jagdish Chandra Asthana,IND,0,Graduate Professional,62,2281000,Jaunpur,0,0,M,2009
Paras Nath Yadava,SP,0,12th Pass,54,13874968,Jaunpur,0,0,M,2009
Rajesh S/O Rameshchandra,AD,0,Graduate,30,297000,Jaunpur,50000,0,M,2009
Rajesh S/O Ramyagya,EKSP,0,10th Pass,32,1655238,Jaunpur,0,0,M,2009
Rajkishun,Rashtriya Swabhimaan Party,0,Post Graduate,26,950000,Jaunpur,0,0,M,2009
Ramchandar,RASD,0,8th Pass,52,1067695,Jaunpur,20000,0,M,2009
Ravi Shankar,LJP,0,Graduate,38,,Jaunpur,0,0,M,2009
Seema,BJP,0,Post Graduate,37,2838000,Jaunpur,135000,0,F,2009
Tasleem Ahmed Rehmani,IND,0,Others,45,5444843,Jaunpur,0,0,M,2009
Pradeep Kumar Jain,INC,2,Post Graduate,46,3343719,Jhansi,0,0,M,2009
Abdesh Bhooshan Srivastava,IND,1,Not Given,43,2600,Jhansi,0,0,M,2009
Babu Lal Nangal,LSVP,0,Not Given,65,2116000,Jhansi,88000,0,M,2009
Bal Kishan,IND,0,Not Given,28,70939,Jhansi,28000,0,M,2009
Balak Das,AD,0,Not Given,40,437000,Jhansi,0,0,M,2009
Chandrpal Singh Yadav,SP,4,Not Given,49,12091752,Jhansi,0,0,M,2009
Deepmala Kushwaha,RTKP,1,Not Given,28,206206,Jhansi,0,0,M,2009
Jagat Vikram Singh,IND,0,Not Given,40,1415000,Jhansi,0,0,M,2009
Kamta Prasad Rajput,IND,0,Not Given,59,7223775,Jhansi,0,0,M,2009
Mahendra,IND,0,Not Given,39,243000,Jhansi,0,0,M,2009
Manmohan Gupta,IJP,0,Not Given,62,3528456,Jhansi,0,0,M,2009
Mathura Prasad,IND,0,Not Given,58,228400,Jhansi,0,0,M,2009
Pankaj Rawat,IND,0,Not Given,37,496330,Jhansi,0,0,M,2009
Parwat Singh,IND,0,Not Given,39,1340000,Jhansi,0,0,M,2009
Ramdas,BJTP,0,Not Given,50,49766,Jhansi,0,0,M,2009
Ramesh Kumar Sharma,BSP,0,Not Given,58,69793000,Jhansi,0,0,M,2009
Ravindra Shukla,BJP,0,Not Given,50,9064094,Jhansi,1819376,0,M,2009
Sujan Singh Bundela,RSMD,0,Not Given,63,115770215,Jhansi,260536,0,M,2009
Tabassum Begam,BSP,0,10th Pass,39,11667328,Kairana,0,1,F,2009
Abhishek,IND,0,10th Pass,25,360000,Kairana,0,0,M,2009
Braham Pal Gurjar,IND,0,Graduate Professional,38,2255723,Kairana,0,0,M,2009
Hukum Singh,BJP,1,Graduate Professional,71,13488895,Kairana,0,0,M,2009
Karan Singh,JSP,0,Graduate,40,2000,Kairana,0,0,M,2009
Kuldeep,IND,0,Graduate,32,4362000,Kairana,0,0,M,2009
Kunwar Pal,RDMP,0,12th Pass,50,3701000,Kairana,20000,0,M,2009
Lakhmi,IND,0,8th Pass,53,6784937,Kairana,1500,0,M,2009
Mukta Singh,IND,0,Post Graduate,35,3975000,Kairana,0,0,F,2009
Priya Kumar,ABHM,0,12th Pass,37,644000,Kairana,0,0,M,2009
Raj Bahadur,IJP,0,Graduate,26,103000,Kairana,0,0,M,2009
Rajnish Notial,Ambedkar Samaj Party,0,Literate,28,250000,Kairana,0,0,M,2009
Shafik,UNLP,0,Literate,52,85000,Kairana,0,0,M,2009
Shajan Masood,SP,3,Graduate,36,7119617,Kairana,784480,0,M,2009
Surendra Kumar,INC,0,10th Pass,45,5825591,Kairana,219000,0,M,2009
Brijbhushan Saran Singh,SP,2,Graduate Professional,52,53537885,Kaiserganj,0,0,M,2009
Anokhi Lal,IND,0,Literate,49,120500,Kaiserganj,0,0,M,2009
Chandra Bhan,IND,1,Literate,42,1951003,Kaiserganj,0,0,M,2009
Daya Ram,PDFO,1,Not Given,41,653534,Kaiserganj,140000,0,M,2009
Dr Lalta Prasad Mishra Alis Dr L P Mishra,BJP,0,Doctorate,59,35903033,Kaiserganj,3275766,0,M,2009
Hafeez,AD,0,8th Pass,47,1880000,Kaiserganj,0,0,M,2009
Jagdish,IND,0,Literate,40,1726000,Kaiserganj,0,0,M,2009
Jagdish Prasad,IND,0,12th Pass,38,4525532,Kaiserganj,0,0,M,2009
Jitendra Bahadur,IND,0,Graduate Professional,57,352895,Kaiserganj,0,0,M,2009
Manoj Kumar,Lok Dal,0,Graduate,33,721000,Kaiserganj,0,0,M,2009
Mohd Aleem,INC,0,12th Pass,46,8957811,Kaiserganj,0,0,M,2009
Om Prakash,IND,0,12th Pass,35,300000,Kaiserganj,0,0,M,2009
Radheyshyam Boat,IND,0,8th Pass,62,620404,Kaiserganj,0,0,M,2009
Raj Kishore Singh,IND,0,12th Pass,38,1470000,Kaiserganj,0,0,M,2009
Ram Praksh,RPI(A),0,10th Pass,39,417000,Kaiserganj,0,0,M,2009
Ramender Dev Pathak,PECP,0,Graduate Professional,60,5661821,Kaiserganj,0,0,M,2009
Ramfeer Alis Chunti,IND,0,Not Given,59,259000,Kaiserganj,0,0,M,2009
Surendra Nath Awasthi,BSP,0,Post Graduate,53,16540782,Kaiserganj,2061909,0,M,2009
Udai Raj,IND,0,Literate,52,1145000,Kaiserganj,0,0,M,2009
Vimal Verma,IND,0,10th Pass,30,665000,Kaiserganj,0,0,M,2009
Vinesh Kumar,IND,0,10th Pass,32,315000,Kaiserganj,0,0,M,2009
Zameer Ahamad,ANC,0,10th Pass,53,107000,Kaiserganj,0,0,M,2009
Akhilesh Yadav,SP,0,Graduate Professional,35,48582202,Kannauj,7726354,1,M,2009
Ajab Singh,Akhil Bharatiya Ashok Sena,0,12th Pass,30,2555500,Kannauj,0,0,M,2009
Balram,BSP(K),2,Not Given,29,621000,Kannauj,200000,0,M,2009
Lal Singh,IND,0,8th Pass,40,742300,Kannauj,0,0,M,2009
Narayan Kumar,RDMP,0,Graduate,39,313196,Kannauj,0,0,M,2009
Pradeep,IND,1,12th Pass,35,1660026,Kannauj,0,0,M,2009
Ram Babu,IND,0,8th Pass,37,80500,Kannauj,0,0,M,2009
Ram Babu Trivedi,BPD,0,Post Graduate,62,1559370,Kannauj,0,0,M,2009
Ram Karan,VAJP,0,Graduate,37,1498600,Kannauj,7000,0,M,2009
Ram Swaroop,JPS,0,Graduate,70,2120187,Kannauj,0,0,M,2009
Sanjeev,IND,0,Post Graduate,25,1410000,Kannauj,0,0,M,2009
Shahan Shah,IND,0,8th Pass,37,20000,Kannauj,0,0,M,2009
Shrikrishna Shakya,IND,0,Graduate Professional,56,5050000,Kannauj,0,0,M,2009
Subrat Pathak,BJP,0,Graduate,29,10172404,Kannauj,468672,0,M,2009
Vijay Singh Chauhan,Mahan Dal,0,12th Pass,53,6225000,Kannauj,100000,0,M,2009
Sarvey Satyanarayana,INC,1,Graduate Professional,54,10112521,KANNAUJ  :BYE-ELECTION ON 24-06-2012,116848,0,M,2009
Bheem Sen,TDP,0,Graduate Professional,60,2856116,KANNAUJ  :BYE-ELECTION ON 24-06-2012,0,0,M,2009
C Francis Mjf,SP,0,Graduate,57,60000,KANNAUJ  :BYE-ELECTION ON 24-06-2012,0,0,M,2009
C Venkata Subba Rao,IND,0,Graduate,52,1855000,KANNAUJ  :BYE-ELECTION ON 24-06-2012,810355,0,M,2009
Dr.Lavu Rathaiah,LSP,1,Doctorate,56,155460261,KANNAUJ  :BYE-ELECTION ON 24-06-2012,57975695,0,M,2009
Indrasena Reddy,BJP,0,Post Graduate,56,24115000,KANNAUJ  :BYE-ELECTION ON 24-06-2012,235000,0,M,2009
J Bhaskar,IND,0,Not Given,34,,KANNAUJ  :BYE-ELECTION ON 24-06-2012,0,0,M,2009
K Bhojraj,IND,1,Not Given,35,,KANNAUJ  :BYE-ELECTION ON 24-06-2012,0,0,M,2009
K Srinivasa Raju,IND,0,Graduate,44,2580000,KANNAUJ  :BYE-ELECTION ON 24-06-2012,1284000,0,M,2009
Kante Kanakaiah Ganagaputra,IND,0,Graduate,63,9148383,KANNAUJ  :BYE-ELECTION ON 24-06-2012,1404,0,M,2009
Lt.Col.(Retd) Duserla Paparaidu,IND,0,Post Graduate,62,12500000,KANNAUJ  :BYE-ELECTION ON 24-06-2012,600000,0,M,2009
M Babu Rao,BSP,2,12th Pass,52,14100000,KANNAUJ  :BYE-ELECTION ON 24-06-2012,1115000,0,M,2009
Md Mansoor Ali,IND,0,12th Pass,31,150000,KANNAUJ  :BYE-ELECTION ON 24-06-2012,0,0,M,2009
N V Rama Reddy,PPOI,0,10th Pass,54,36650006,KANNAUJ  :BYE-ELECTION ON 24-06-2012,96384,0,M,2009
Narendar Kumbala,BPD,0,Post Graduate,39,120000,KANNAUJ  :BYE-ELECTION ON 24-06-2012,0,0,M,2009
P Ramakrishna,RKSP,0,Not Given,42,,KANNAUJ  :BYE-ELECTION ON 24-06-2012,2100000,0,M,2009
S D Krishnamurthy,TNPP,0,Post Graduate,51,1430000,KANNAUJ  :BYE-ELECTION ON 24-06-2012,0,0,M,2009
S.Victor,IND,0,10th Pass,40,882000,KANNAUJ  :BYE-ELECTION ON 24-06-2012,0,0,M,2009
Thulla Devender Goud,PRAP,0,Graduate,56,352257953,KANNAUJ  :BYE-ELECTION ON 24-06-2012,0,0,M,2009
Sri Prakash Jaiswal,INC,0,12th Pass,64,30767980,Kanpur,0,1,M,2009
Ahamed Hussain,IND,1,Not Given,68,5379,Kanpur,0,0,M,2009
Anil Kumar Jain,IND,0,Post Graduate,49,1776623,Kanpur,216292,0,M,2009
Badri Vishal Prajapati,IND,0,Others,35,70000,Kanpur,0,0,M,2009
Gaya Prasad,IND,0,Others,55,344500,Kanpur,0,0,M,2009
Gufran Ahmed,RWSP,0,12th Pass,49,700000,Kanpur,0,0,M,2009
Jagdish Prasad,ABHM,0,Not Given,48,284000,Kanpur,0,0,M,2009
Jageswar Dayal 1 Vikal,IND,0,Post Graduate,47,615000,Kanpur,0,0,M,2009
Mahesh Chandra Sharma,IND,0,Post Graduate,65,3812000,Kanpur,0,0,M,2009
Maya Kaushal,IND,1,Graduate,55,705800,Kanpur,0,0,M,2009
Mohammd Isha,IND,0,5th Pass,34,30500,Kanpur,0,0,M,2009
Moti Lal Sharma,IJP,0,8th Pass,59,19650,Kanpur,0,0,M,2009
Nisha,IND,0,10th Pass,38,240000,Kanpur,0,0,F,2009
Omendra Bharat,BPD,0,Post Graduate,29,35457,Kanpur,0,0,M,2009
Satish Mahana,BJP,0,Graduate,48,18717462,Kanpur,0,0,M,2009
Sukhda Mishra,BSP,0,Graduate,67,46179000,Kanpur,1583789,0,F,2009
Surendra Mohan Agrawal,SP,4,12th Pass,65,16479277,Kanpur,0,0,M,2009
V.N.Awasthi,IND,0,Not Given,75,2025500,Kanpur,0,0,M,2009
Shailendra Kumar,SP,0,Graduate,51,20800327,Kaushambi,0,1,M,2009
Gautam Chaudhary,BJP,0,Graduate Professional,44,3518000,Kaushambi,0,0,M,2009
Girish Chandra Pasi,BSP,9,Graduate,39,2407001,Kaushambi,0,0,M,2009
Gulab Chandra,IND,0,5th Pass,39,150000,Kaushambi,0,0,M,2009
Gulab Sonkar,IJP,0,Graduate,45,243000,Kaushambi,0,0,M,2009
Jagdeo,IND,0,12th Pass,53,315367,Kaushambi,0,0,M,2009
Man Singh,IND,0,12th Pass,28,76000,Kaushambi,0,0,M,2009
Ram Nihor Rakesh,INC,0,Not Given,64,329586,Kaushambi,0,0,M,2009
Ram Saran,IND,0,12th Pass,56,935053,Kaushambi,0,0,M,2009
Umesh Chandra Pasi,AD,0,10th Pass,40,2954000,Kaushambi,5000,0,M,2009
Zafar Ali Naqvi,INC,0,Graduate Professional,61,3979881,Kheri,0,1,M,2009
Ajay Kumar,BJP,2,Graduate Professional,50,15325070,Kheri,1560020,0,M,2009
Anil Kishore,Lok Dal,0,12th Pass,41,648000,Kheri,0,0,M,2009
Anupam Verma,AD,0,Not Given,30,646300,Kheri,0,0,M,2009
Arvind,IND,0,Graduate,33,82000,Kheri,0,0,M,2009
Bajrangi Lal,IND,0,Not Given,36,20000,Kheri,0,0,M,2009
Iliyas Azmi,BSP,0,Others,68,17619316,Kheri,0,0,M,2009
Kashinath Singh,JPS,0,Graduate Professional,49,2072000,Kheri,0,0,M,2009
Mohd. Iliyas,IND,0,8th Pass,49,351242,Kheri,0,0,M,2009
Mujeeb Khan,IND,1,5th Pass,38,2610000,Kheri,0,0,M,2009
Ramdarash,CPI(ML)(L),17,8th Pass,45,30000,Kheri,0,0,M,2009
Ravi Prakash Verma,SP,1,Graduate Professional,49,5389781,Kheri,350160,0,M,2009
Ku. Ratanjeet Pratap Narayan Singh,INC,0,Graduate,45,39975893,Kushi Nagar,100000,1,M,2009
Ameeruddin,IND,0,Graduate,31,,Kushi Nagar,0,0,M,2009
Anil,RPI(A),0,Not Given,43,830000,Kushi Nagar,0,0,M,2009
Babu Lal,BRPP,0,8th Pass,40,567000,Kushi Nagar,0,0,M,2009
Bramha Shanker,SP,2,Graduate Professional,56,28469369,Kushi Nagar,1074290,0,M,2009
Daroga,IND,0,8th Pass,37,36000,Kushi Nagar,0,0,M,2009
Dheeraj Shekhar Shriwastawa,RALOP,0,Not Given,49,16000,Kushi Nagar,0,0,M,2009
Jagdish,IND,0,5th Pass,57,2878000,Kushi Nagar,0,0,M,2009
Jai Govind,IND,0,10th Pass,35,31000,Kushi Nagar,0,0,M,2009
Jangi,SBSP,2,Not Given,55,,Kushi Nagar,0,0,M,2009
K Kumar,PRBD,0,12th Pass,56,3900,Kushi Nagar,0,0,M,2009
Kishor Kumar,IPP,1,Graduate Professional,40,3387500,Kushi Nagar,0,0,M,2009
Madan Lal,MADP,0,12th Pass,46,657000,Kushi Nagar,0,0,M,2009
Matiullah,NLHP,0,Graduate Professional,43,35000,Kushi Nagar,0,0,M,2009
Ram Briksh,IND,0,12th Pass,54,400000,Kushi Nagar,0,0,M,2009
Ramesh,IND,0,12th Pass,35,2413000,Kushi Nagar,0,0,M,2009
Swami Prasad Maurya,BSP,1,Post Graduate,54,6624790,Kushi Nagar,0,0,M,2009
Vijay Dubey,BJP,2,12th Pass,41,8913000,Kushi Nagar,0,0,M,2009
Dr. Baliram,BSP,0,Doctorate,56,8003036,Lalganj,638922,1,M,2009
Achchhelal,IND,0,8th Pass,42,120000,Lalganj,0,0,M,2009
Chandra Ram Alias Chandu Saroj,IND,0,Post Graduate,36,85584,Lalganj,350000,0,M,2009
Daroga Prasad Saroj,SP,5,Graduate,60,5573553,Lalganj,0,0,M,2009
Dharmraj,IND,0,10th Pass,55,754201,Lalganj,0,0,M,2009
Hari Prasad Sonkar,CPI,0,Literate,50,132569,Lalganj,0,0,M,2009
Manbhawan,BRPP,0,Not Given,32,759500,Lalganj,0,0,M,2009
Neelam Sonkar,BJP,0,Post Graduate,33,11555274,Lalganj,1300000,0,F,2009
Ram Dayal Alias Mohan,SBSP,0,8th Pass,32,9000,Lalganj,0,0,M,2009
Sukhnayan,IND,0,12th Pass,29,195000,Lalganj,0,0,M,2009
Urmila Devi,IND,0,Literate,27,596000,Lalganj,0,0,F,2009
Lal Ji Tandon,BJP,0,Graduate,73,21700160,Lucknow,0,1,M,2009
A. Haroon Ali,IND,0,Graduate,48,1751500,Lucknow,34380,0,M,2009
Ambika Prasad,IND,0,Post Graduate,49,3949407,Lucknow,0,0,M,2009
Amit Pandey,IND,0,Post Graduate,33,780000,Lucknow,0,0,M,2009
Amresh Mishra,IND,0,Post Graduate,43,1105000,Lucknow,0,0,M,2009
Anupam Mishra,SWPI,0,Graduate,37,1452714,Lucknow,125867,0,M,2009
Ashok Kumar Pal,IND,0,Post Graduate,31,90868,Lucknow,0,0,M,2009
Bal Mukund Tiwari,IND,0,Literate,26,40000,Lucknow,0,0,M,2009
Chandra Bhushan Pandey (C.B.Pandey),IND,0,Graduate Professional,60,20014570,Lucknow,0,0,M,2009
Chaturi Prasad,IND,0,Not Given,56,300000,Lucknow,0,0,M,2009
Dasharath,RMEP,0,Post Graduate,36,12404,Lucknow,0,0,M,2009
Dheeraj,IND,7,10th Pass,37,573000,Lucknow,98000,0,M,2009
Dr. Akhilesh Das Gupta,BSP,1,Doctorate,48,527490020,Lucknow,2190715,0,M,2009
Dr.Khan Mohmad Atif,MMUP,0,Doctorate,64,4700000,Lucknow,0,0,M,2009
Girish Chandra Srivastav,IND,0,12th Pass,62,2901500,Lucknow,0,0,M,2009
Harjeet Singh,IND,0,12th Pass,48,954000,Lucknow,2200000,0,M,2009
Jugunu Ranjan,JANS,0,Graduate,47,2090000,Lucknow,0,0,F,2009
K.C. Kardam,IND,0,Post Graduate,65,4092245,Lucknow,0,0,M,2009
Kamal Chandra,GGP,0,Graduate,39,4091000,Lucknow,0,0,M,2009
